2025-10-17 13:25:39-INFO-[main.py:29]--------------------------启动数据分析系统-------------------------
2025-10-17 13:25:39-INFO-[file_utils.py:39]-paths.yaml 生成成功: C:\Users\17584\Documents\ALearning\Project\tools\DataProcess\config\paths.yaml
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:26]-配置文件加载成功: C:\Users\17584\Documents\ALearning\Project\tools\DataProcess\config\paths.yaml
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:189]-FFT数据输入目录: D:/Lab/process/2025.6.20/frequency
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:190]-平均FFT输出目录: D:/Lab/process/2025.6.20/frequency_ave
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:203]-找到 164 个FFT CSV文件
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:55]-按频率分组完成，找到 6 个频率组
2025-10-17 13:25:39-INFO-[tdms_reader_frequency_average.py:57]-  频率 30Hz: 24 个文件
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/24 个文件: FFT_20250620203722.132566.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/23 个文件: FFT_20250620204012.290275.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/29 个文件: FFT_20250620194641.451865.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/24 个文件: FFT_20250620205526.960472.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/23 个文件: FFT_20250620204015.172895.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/24 个文件: FFT_20250620203725.055667.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/29 个文件: FFT_20250620194644.379134.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/42 个文件: FFT_20250620193757.946475.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 9/22 个文件: FFT_20250620193246.763908.csv
2025-10-17 13:25:44-INFO-[tdms_reader_frequency_average.py:102]-  已处理 13/24 个文件: FFT_20250620205529.836771.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 13/23 个文件: FFT_20250620204018.073789.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 13/24 个文件: FFT_20250620203727.976887.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 13/29 个文件: FFT_20250620194647.302328.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/42 个文件: FFT_20250620193800.664447.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 10/22 个文件: FFT_20250620193249.732466.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 14/24 个文件: FFT_20250620205532.720182.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 14/23 个文件: FFT_20250620204020.965725.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 14/24 个文件: FFT_20250620203730.949081.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 14/29 个文件: FFT_20250620194650.211108.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 15/24 个文件: FFT_20250620205535.616021.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/42 个文件: FFT_20250620193803.575523.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 11/22 个文件: FFT_20250620193252.662583.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 15/23 个文件: FFT_20250620204023.874951.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 15/24 个文件: FFT_20250620203733.850068.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 15/29 个文件: FFT_20250620194653.136268.csv
2025-10-17 13:25:45-INFO-[tdms_reader_frequency_average.py:102]-  已处理 16/24 个文件: FFT_20250620205538.511375.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 16/23 个文件: FFT_20250620204026.769314.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 16/29 个文件: FFT_20250620194656.041305.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 16/24 个文件: FFT_20250620203736.809154.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/42 个文件: FFT_20250620193806.499762.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 12/22 个文件: FFT_20250620193255.616210.csv
2025-10-17 13:25:46-INFO-[tdms_reader_frequency_average.py:102]-  已处理 17/24 个文件: FFT_20250620205541.382788.csv
