2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162922.737775.csv
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162925.935060.csv
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162929.135450.csv
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162932.334040.csv
2025-11-24 12:00:00-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162935.537338.csv
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162938.734941.csv
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162941.936832.csv
2025-11-24 12:00:01-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162945.132579.csv
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162948.333959.csv
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162951.535988.csv
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162957.934569.csv
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111162954.733310.csv
2025-11-24 12:00:02-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:03-INFO-[tdms_reader_frequency.py:76]-开始处理文件: D:/Lab/process/2025.11.11/time\GROUP2\20251111163001.136524.csv
2025-11-24 12:00:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:03-INFO-[tdms_reader_frequency.py:84]-使用元数据采样率: 50000 Hz
2025-11-24 12:00:35-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:36-INFO-[tdms_reader_frequency.py:147]-  已写入 500000/799999 行FFT数据
2025-11-24 12:00:37-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:37-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:38-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:38-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:38-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:38-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:38-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:39-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:39-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:39-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:41-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:41-INFO-[tdms_reader_frequency.py:147]-  已写入 600000/799999 行FFT数据
2025-11-24 12:00:42-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:42-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:42-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:43-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162932.334040.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162932.334040.csv
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162929.135450.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162929.135450.csv
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:147]-  已写入 700000/799999 行FFT数据
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:44-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162925.935060.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162925.935060.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162941.936832.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162941.936832.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162922.737775.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162922.737775.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162938.734941.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162938.734941.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162951.535988.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162951.535988.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162948.333959.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162948.333959.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162935.537338.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162935.537338.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162957.934569.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162957.934569.csv
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:45-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162954.733310.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162954.733310.csv
2025-11-24 12:00:46-INFO-[tdms_reader_frequency.py:147]-  已写入 799999/799999 行FFT数据
2025-11-24 12:00:46-INFO-[tdms_reader_frequency.py:149]-已处理: 20251111162945.132579.csv -> D:/Lab/process/2025.11.11/frequency\GROUP2\FFT_20251111162945.132579.csv
2025-11-24 12:00:47-INFO-[tdms_reader_frequency_average.py:178]-开始处理文件夹 GROUP1, 共 31 个文件
2025-11-24 12:00:47-INFO-[tdms_reader_frequency_average.py:178]-开始处理文件夹 GROUP2, 共 49 个文件
2025-11-24 12:01:54-WARNING-[tdms_reader_frequency_average.py:99]-文件 FFT_20251111161810.932971.csv 结构不匹配，跳过
2025-11-24 12:02:07-INFO-[tdms_reader_frequency_average.py:159]-已保存平均FFT数据: D:/Lab/process/2025.11.11/frequency_ave\GROUP1\average_fft_GROUP1_30files.csv
2025-11-24 12:02:20-WARNING-[tdms_reader_frequency_average.py:99]-文件 FFT_20251111163001.136524.csv 结构不匹配，跳过
2025-11-24 12:02:29-INFO-[tdms_reader_frequency_average.py:159]-已保存平均FFT数据: D:/Lab/process/2025.11.11/frequency_ave\GROUP2\average_fft_GROUP2_48files.csv
