2026-02-25 15:29:17-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:17-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:17-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:17-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:17-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:18-INFO-[tdms_reader_frequency.py:147]-  已写入 200000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:20-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:21-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:21-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:21-INFO-[tdms_reader_frequency.py:147]-  已写入 300000/799999 行FFT数据
2026-02-25 15:29:22-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:22-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:22-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:22-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:22-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
2026-02-25 15:29:23-INFO-[tdms_reader_frequency.py:147]-  已写入 400000/799999 行FFT数据
