P0_a_m,R_m,frequency_hz,m_n,S_E_sqrt_v_per_m_sqrt_hz,T_int_s,gamma,E_min_v_per_m,E_shaft_baseline_quasi_static_v_per_m,detectable_baseline,margin_db
3000.0,300.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,6.631455962162305e-08,yes,20.411577885325954
3000.0,1000.0,3.0,0.03,1e-08,10.0,2.0,6.324555320336758e-09,1.7904931097838224e-09,no,-10.961146831494297
30.0,100.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838226e-08,yes,19.0388531685057
30.0,300.0,3.0,0.03,1e-08,100.0,2.0,2e-09,6.631455962162306e-10,no,-9.588422114674044
30.0,1000.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838226e-11,no,-40.9611468314943
100.0,100.0,3.0,0.03,1e-08,100.0,2.0,2e-09,5.968310365946075e-08,yes,29.49642807411245
100.0,300.0,3.0,0.03,1e-08,100.0,2.0,2e-09,2.2104853207207685e-09,yes,0.8691527909327055
100.0,1000.0,3.0,0.03,1e-08,100.0,2.0,2e-09,5.968310365946076e-11,no,-30.50357192588755
300.0,100.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838226e-07,yes,39.0388531685057
300.0,300.0,3.0,0.03,1e-08,100.0,2.0,2e-09,6.631455962162305e-09,yes,10.411577885325954
300.0,1000.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838224e-10,no,-20.9611468314943
1000.0,100.0,3.0,0.03,1e-08,100.0,2.0,2e-09,5.968310365946076e-07,yes,49.49642807411245
1000.0,300.0,3.0,0.03,1e-08,100.0,2.0,2e-09,2.2104853207207683e-08,yes,20.869152790932706
1000.0,1000.0,3.0,0.03,1e-08,100.0,2.0,2e-09,5.968310365946075e-10,no,-10.503571925887549
3000.0,100.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838226e-06,yes,59.0388531685057
3000.0,300.0,3.0,0.03,1e-08,100.0,2.0,2e-09,6.631455962162305e-08,yes,30.411577885325954
3000.0,1000.0,3.0,0.03,1e-08,100.0,2.0,2e-09,1.7904931097838224e-09,no,-0.9611468314942999
30.0,100.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,1.7904931097838226e-08,yes,29.0388531685057
30.0,300.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,6.631455962162306e-10,yes,0.4115778853259539
30.0,1000.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,1.7904931097838226e-11,no,-30.9611468314943
100.0,100.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,5.968310365946075e-08,yes,39.49642807411245
100.0,300.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,2.2104853207207685e-09,yes,10.869152790932706
100.0,1000.0,3.0,0.03,1e-08,1000.0,2.0,6.324555320336759e-10,5.968310365946076e-11,no,-20.50357192588755
