P0_a_m,sigma_s_per_m,R_m,fs_hz,harmonic,frequency_hz,m_n,E_shaft_baseline_quasi_static_v_per_m,E_shaft_optional_conservative_v_per_m
300.0,4.0,30.0,3.0,3,9.0,0.01,2.2104853207207687e-06,1.5458391715280945e-06
300.0,4.0,30.0,3.0,4,12.0,0.0075,1.6578639905405763e-06,1.0969756037861507e-06
300.0,4.0,30.0,3.0,5,15.0,0.006,1.326291192432461e-06,8.358288020813413e-07
300.0,4.0,50.0,3.0,1,3.0,0.03,1.432394487827058e-06,1.0153194361034831e-06
300.0,4.0,50.0,3.0,2,6.0,0.015,7.16197243913529e-07,4.4021452646105025e-07
300.0,4.0,50.0,3.0,3,9.0,0.01,4.77464829275686e-07,2.63068697499922e-07
300.0,4.0,50.0,3.0,4,12.0,0.0075,3.580986219567645e-07,1.799213774714621e-07
300.0,4.0,50.0,3.0,5,15.0,0.006,2.864788975654116e-07,1.3270584397653662e-07
300.0,4.0,100.0,3.0,1,3.0,0.03,1.7904931097838226e-07,8.996068873573104e-08
300.0,4.0,100.0,3.0,2,6.0,0.015,8.952465548919113e-08,3.382253124998133e-08
300.0,4.0,100.0,3.0,3,9.0,0.01,5.968310365946075e-08,1.8117863180961843e-08
300.0,4.0,100.0,3.0,4,12.0,0.0075,4.4762327744595564e-08,1.129985571235205e-08
300.0,4.0,100.0,3.0,5,15.0,0.006,3.580986219567645e-08,7.6841789985176e-09
300.0,4.0,300.0,3.0,1,3.0,0.03,6.631455962162305e-09,8.411031177971253e-10
300.0,4.0,300.0,3.0,2,6.0,0.015,3.3157279810811525e-09,1.7880071005315416e-10
300.0,4.0,300.0,3.0,3,9.0,0.01,2.2104853207207685e-09,6.183784754618203e-11
300.0,4.0,300.0,3.0,4,12.0,0.0075,1.6578639905405763e-09,2.6670404614183955e-11
300.0,4.0,300.0,3.0,5,15.0,0.006,1.3262911924324612e-09,1.3104587505842967e-11
300.0,4.0,500.0,3.0,1,3.0,0.03,1.432394487827058e-09,4.586308128795489e-11
300.0,4.0,500.0,3.0,2,6.0,0.015,7.16197243913529e-10,5.51251630273442e-12
300.0,4.0,500.0,3.0,3,9.0,0.01,4.77464829275686e-10,1.2308900699132474e-12
300.0,4.0,500.0,3.0,4,12.0,0.0075,3.580986219567645e-10,3.6711643389811727e-13
300.0,4.0,500.0,3.0,5,15.0,0.006,2.864788975654116e-10,1.303367095537039e-13
300.0,4.0,1000.0,3.0,1,3.0,0.03,1.7904931097838224e-10,1.8355821694905863e-13
300.0,4.0,1000.0,3.0,2,6.0,0.015,8.952465548919112e-11,5.303677905451016e-15
300.0,4.0,1000.0,3.0,3,9.0,0.01,5.968310365946076e-11,3.966497298108404e-16
300.0,4.0,1000.0,3.0,4,12.0,0.0075,4.476232774459556e-11,4.7045167090290713e-17
300.0,4.0,1000.0,3.0,5,15.0,0.006,3.580986219567645e-11,7.412264045298392e-18
300.0,4.0,3000.0,3.0,1,3.0,0.03,6.6314559621623065e-12,7.145167576691815e-21
300.0,4.0,3000.0,3.0,2,6.0,0.015,3.3157279810811533e-12,6.894175630215651e-25
300.0,4.0,3000.0,3.0,3,9.0,0.01,2.210485320720769e-12,6.488658615918915e-28
300.0,4.0,3000.0,3.0,4,12.0,0.0075,1.6578639905405766e-12,1.9246685792044785e-30
300.0,4.0,3000.0,3.0,5,15.0,0.006,1.3262911924324613e-12,1.176206517107996e-32
1000.0,4.0,10.0,3.0,1,3.0,0.03,0.0005968310365946075,0.0005571336771634509
1000.0,4.0,10.0,3.0,2,6.0,0.015,0.00029841551829730374,0.0002707370849619465
1000.0,4.0,10.0,3.0,3,9.0,0.01,0.0001989436788648692,0.00017658576953215012
1000.0,4.0,10.0,3.0,4,12.0,0.0075,0.00014920775914865187,0.00013001918264871648
1000.0,4.0,10.0,3.0,5,15.0,0.006,0.0001193662073189215,0.00010233893128171604
1000.0,4.0,30.0,3.0,1,3.0,0.03,2.2104853207207685e-05,1.7980910134021168e-05
1000.0,4.0,30.0,3.0,2,6.0,0.015,1.1052426603603842e-05,8.253471843358875e-06
1000.0,4.0,30.0,3.0,3,9.0,0.01,7.368284402402562e-06,5.152797238426981e-06
1000.0,4.0,30.0,3.0,4,12.0,0.0075,5.526213301801921e-06,3.656585345953836e-06
1000.0,4.0,30.0,3.0,5,15.0,0.006,4.420970641441537e-06,2.786096006937805e-06
1000.0,4.0,50.0,3.0,1,3.0,0.03,4.774648292756861e-06,3.3843981203449437e-06
1000.0,4.0,50.0,3.0,2,6.0,0.015,2.3873241463784303e-06,1.4673817548701675e-06
1000.0,4.0,50.0,3.0,3,9.0,0.01,1.5915494309189535e-06,8.768956583330734e-07
1000.0,4.0,50.0,3.0,4,12.0,0.0075,1.1936620731892152e-06,5.997379249048737e-07
1000.0,4.0,50.0,3.0,5,15.0,0.006,9.54929658551372e-07,4.423528132551221e-07
1000.0,4.0,100.0,3.0,1,3.0,0.03,5.968310365946076e-07,2.9986896245243687e-07
1000.0,4.0,100.0,3.0,2,6.0,0.015,2.984155182973038e-07,1.127417708332711e-07
1000.0,4.0,100.0,3.0,3,9.0,0.01,1.989436788648692e-07,6.039287726987282e-08
1000.0,4.0,100.0,3.0,4,12.0,0.0075,1.492077591486519e-07,3.7666185707840166e-08
1000.0,4.0,100.0,3.0,5,15.0,0.006,1.193662073189215e-07,2.5613929995058662e-08
1000.0,4.0,300.0,3.0,1,3.0,0.03,2.2104853207207683e-08,2.803677059323751e-09
1000.0,4.0,300.0,3.0,2,6.0,0.015,1.1052426603603841e-08,5.960023668438472e-10
1000.0,4.0,300.0,3.0,3,9.0,0.01,7.368284402402562e-09,2.0612615848727342e-10
1000.0,4.0,300.0,3.0,4,12.0,0.0075,5.526213301801921e-09,8.89013487139465e-11
1000.0,4.0,300.0,3.0,5,15.0,0.006,4.420970641441537e-09,4.3681958352809887e-11
1000.0,4.0,500.0,3.0,1,3.0,0.03,4.77464829275686e-09,1.5287693762651632e-10
1000.0,4.0,500.0,3.0,2,6.0,0.015,2.38732414637843e-09,1.837505434244807e-11
1000.0,4.0,500.0,3.0,3,9.0,0.01,1.5915494309189535e-09,4.102966899710825e-12
1000.0,4.0,500.0,3.0,4,12.0,0.0075,1.193662073189215e-09,1.2237214463270576e-12
1000.0,4.0,500.0,3.0,5,15.0,0.006,9.54929658551372e-10,4.344556985123464e-13
1000.0,4.0,1000.0,3.0,1,3.0,0.03,5.968310365946075e-10,6.118607231635288e-13
1000.0,4.0,1000.0,3.0,2,6.0,0.015,2.9841551829730376e-10,1.7678926351503385e-14
1000.0,4.0,1000.0,3.0,3,9.0,0.01,1.989436788648692e-10,1.3221657660361348e-15
1000.0,4.0,1000.0,3.0,4,12.0,0.0075,1.4920775914865188e-10,1.568172236343024e-16
1000.0,4.0,1000.0,3.0,5,15.0,0.006,1.193662073189215e-10,2.470754681766131e-17
1000.0,4.0,3000.0,3.0,1,3.0,0.03,2.2104853207207687e-11,2.3817225255639382e-20
1000.0,4.0,3000.0,3.0,2,6.0,0.015,1.1052426603603843e-11,2.298058543405217e-24
1000.0,4.0,3000.0,3.0,3,9.0,0.01,7.368284402402563e-12,2.162886205306305e-27
1000.0,4.0,3000.0,3.0,4,12.0,0.0075,5.526213301801922e-12,6.415561930681595e-30
1000.0,4.0,3000.0,3.0,5,15.0,0.006,4.420970641441538e-12,3.9206883903599864e-32
3000.0,4.0,10.0,3.0,1,3.0,0.03,0.0017904931097838226,0.0016714010314903527
3000.0,4.0,10.0,3.0,2,6.0,0.015,0.0008952465548919113,0.0008122112548858396
3000.0,4.0,10.0,3.0,3,9.0,0.01,0.0005968310365946076,0.0005297573085964503
3000.0,4.0,10.0,3.0,4,12.0,0.0075,0.00044762327744595566,0.0003900575479461495
3000.0,4.0,10.0,3.0,5,15.0,0.006,0.00035809862195676457,0.00030701679384514816
3000.0,4.0,30.0,3.0,1,3.0,0.03,6.631455962162307e-05,5.394273040206352e-05
3000.0,4.0,30.0,3.0,2,6.0,0.015,3.315727981081153e-05,2.476041553007663e-05
3000.0,4.0,30.0,3.0,3,9.0,0.01,2.210485320720769e-05,1.5458391715280946e-05
3000.0,4.0,30.0,3.0,4,12.0,0.0075,1.6578639905405766e-05,1.096975603786151e-05
3000.0,4.0,30.0,3.0,5,15.0,0.006,1.3262911924324614e-05,8.358288020813415e-06
3000.0,4.0,50.0,3.0,1,3.0,0.03,1.4323944878270581e-05,1.015319436103483e-05
3000.0,4.0,50.0,3.0,2,6.0,0.015,7.1619724391352905e-06,4.402145264610503e-06
3000.0,4.0,50.0,3.0,3,9.0,0.01,4.774648292756861e-06,2.6306869749992202e-06
3000.0,4.0,50.0,3.0,4,12.0,0.0075,3.5809862195676453e-06,1.799213774714621e-06
3000.0,4.0,50.0,3.0,5,15.0,0.006,2.864788975654116e-06,1.3270584397653663e-06
3000.0,4.0,100.0,3.0,1,3.0,0.03,1.7904931097838226e-06,8.996068873573105e-07
3000.0,4.0,100.0,3.0,2,6.0,0.015,8.952465548919113e-07,3.382253124998133e-07
3000.0,4.0,100.0,3.0,3,9.0,0.01,5.968310365946076e-07,1.8117863180961847e-07
3000.0,4.0,100.0,3.0,4,12.0,0.0075,4.4762327744595566e-07,1.129985571235205e-07
3000.0,4.0,100.0,3.0,5,15.0,0.006,3.580986219567645e-07,7.684178998517598e-08
3000.0,4.0,300.0,3.0,1,3.0,0.03,6.631455962162305e-08,8.411031177971254e-09
3000.0,4.0,300.0,3.0,2,6.0,0.015,3.3157279810811525e-08,1.7880071005315415e-09
3000.0,4.0,300.0,3.0,3,9.0,0.01,2.2104853207207686e-08,6.183784754618203e-10
3000.0,4.0,300.0,3.0,4,12.0,0.0075,1.6578639905405763e-08,2.6670404614183955e-10
3000.0,4.0,300.0,3.0,5,15.0,0.006,1.3262911924324612e-08,1.3104587505842967e-10
3000.0,4.0,500.0,3.0,1,3.0,0.03,1.432394487827058e-08,4.5863081287954893e-10
3000.0,4.0,500.0,3.0,2,6.0,0.015,7.16197243913529e-09,5.51251630273442e-11
3000.0,4.0,500.0,3.0,3,9.0,0.01,4.77464829275686e-09,1.2308900699132474e-11
3000.0,4.0,500.0,3.0,4,12.0,0.0075,3.580986219567645e-09,3.671164338981173e-12
3000.0,4.0,500.0,3.0,5,15.0,0.006,2.8647889756541163e-09,1.3033670955370392e-12
3000.0,4.0,1000.0,3.0,1,3.0,0.03,1.7904931097838224e-09,1.8355821694905863e-12
3000.0,4.0,1000.0,3.0,2,6.0,0.015,8.952465548919112e-10,5.3036779054510156e-14
3000.0,4.0,1000.0,3.0,3,9.0,0.01,5.968310365946075e-10,3.9664972981084036e-15
3000.0,4.0,1000.0,3.0,4,12.0,0.0075,4.476232774459556e-10,4.704516709029072e-16
3000.0,4.0,1000.0,3.0,5,15.0,0.006,3.5809862195676454e-10,7.412264045298393e-17
3000.0,4.0,3000.0,3.0,1,3.0,0.03,6.631455962162307e-11,7.145167576691815e-20
3000.0,4.0,3000.0,3.0,2,6.0,0.015,3.3157279810811533e-11,6.894175630215652e-24
3000.0,4.0,3000.0,3.0,3,9.0,0.01,2.210485320720769e-11,6.488658615918915e-27
3000.0,4.0,3000.0,3.0,4,12.0,0.0075,1.6578639905405767e-11,1.9246685792044785e-29
3000.0,4.0,3000.0,3.0,5,15.0,0.006,1.3262911924324613e-11,1.176206517107996e-31
