channel,time_s,E_x_v_per_m,baseline_m,deltaV_v,gradient_v_per_m
x_0p5m,144.0,1.2576725766504146e-08,0.5,-6.288362883252073e-09,-1.2576725766504146e-08
x_0p5m,148.0,1.1722734708423116e-08,0.5,-5.861367354211558e-09,-1.1722734708423116e-08
x_0p5m,152.0,1.094150107496334e-08,0.5,-5.47075053748167e-09,-1.094150107496334e-08
x_0p5m,156.0,1.0225747232707627e-08,0.5,-5.1128736163538134e-09,-1.0225747232707627e-08
x_0p5m,160.0,9.569012219902556e-09,0.5,-4.784506109951278e-09,-9.569012219902556e-09
x_0p5m,164.0,8.965552704563501e-09,0.5,-4.482776352281751e-09,-8.965552704563501e-09
x_0p5m,168.0,8.410256429734583e-09,0.5,-4.205128214867292e-09,-8.410256429734583e-09
x_0p5m,172.0,7.898566597591152e-09,0.5,-3.949283298795576e-09,-7.898566597591152e-09
x_0p5m,176.0,7.426415810729921e-09,0.5,-3.7132079053649607e-09,-7.426415810729921e-09
x_0p5m,180.0,6.990168347845421e-09,0.5,-3.4950841739227106e-09,-6.990168347845421e-09
x_0p5m,184.0,6.586569698233241e-09,0.5,-3.2932848491166207e-09,-6.586569698233241e-09
x_0p5m,188.0,6.212702413427765e-09,0.5,-3.1063512067138827e-09,-6.212702413427765e-09
x_0p5m,192.0,5.8659474543158215e-09,0.5,-2.9329737271579107e-09,-5.8659474543158215e-09
x_0p5m,196.0,5.543950318607664e-09,0.5,-2.771975159303832e-09,-5.543950318607664e-09
x_0p5m,200.0,5.244591327395431e-09,0.5,-2.6222956636977153e-09,-5.244591327395431e-09
x_1m,-200.0,5.244591327395431e-09,1.0,-5.244591327395431e-09,-5.244591327395431e-09
x_1m,-196.0,5.543950318607664e-09,1.0,-5.543950318607664e-09,-5.543950318607664e-09
x_1m,-192.0,5.8659474543158215e-09,1.0,-5.8659474543158215e-09,-5.8659474543158215e-09
x_1m,-188.0,6.212702413427765e-09,1.0,-6.212702413427765e-09,-6.212702413427765e-09
x_1m,-184.0,6.586569698233241e-09,1.0,-6.586569698233241e-09,-6.586569698233241e-09
x_1m,-180.0,6.990168347845421e-09,1.0,-6.990168347845421e-09,-6.990168347845421e-09
x_1m,-176.0,7.426415810729921e-09,1.0,-7.426415810729921e-09,-7.426415810729921e-09
x_1m,-172.0,7.898566597591152e-09,1.0,-7.898566597591152e-09,-7.898566597591152e-09
x_1m,-168.0,8.410256429734583e-09,1.0,-8.410256429734583e-09,-8.410256429734583e-09
x_1m,-164.0,8.965552704563501e-09,1.0,-8.965552704563501e-09,-8.965552704563501e-09
x_1m,-160.0,9.569012219902556e-09,1.0,-9.569012219902556e-09,-9.569012219902556e-09
x_1m,-156.0,1.0225747232707627e-08,1.0,-1.0225747232707627e-08,-1.0225747232707627e-08
