time_s,R0_m,speed_m_per_s,R_m,E_env_v_per_m,E_shaft_v_per_m
101.0,300.0,5.0,587.3882872512867,2.9449339081135705e-08,2.017279727057796e-09
101.5,300.0,5.0,589.5390148242948,2.9128206534384805e-08,-6.845128535580429e-10
102.0,300.0,5.0,591.6924876994806,2.8811325117695844e-08,1.9735757705621653e-09
102.5,300.0,5.0,593.8486760109852,2.8498632548307784e-08,-6.69717864885233e-10
103.0,300.0,5.0,596.007550287746,2.819006744826388e-08,1.9310196202060757e-09
103.5,300.0,5.0,598.1690814477124,2.788556933460752e-08,-6.553108793632767e-10
104.0,300.0,5.0,600.3332407921454,2.758507860948806e-08,1.889577884749932e-09
104.5,300.0,5.0,602.5,2.7288536550189766e-08,-6.412806089294594e-10
105.0,300.0,5.0,604.6693311223912,2.6995885299095813e-08,1.8492181429880633e-09
105.5,300.0,5.0,606.8412065771407,2.6707067853599154e-08,-6.276160945595801e-10
106.0,300.0,5.0,609.0155991434045,2.642202805597107e-08,1.8099089218340184e-09
106.5,300.0,5.0,611.1924819563801,2.6140710583197853e-08,-6.143066987051496e-10
107.0,300.0,5.0,613.3718285020922,2.5863060936795283e-08,1.771619674170477e-09
107.5,300.0,5.0,615.5536126122565,2.5589025432610097e-08,-6.013420976663372e-10
108.0,300.0,5.0,617.73780845922,2.5318551190617286e-08,1.7343207565572842e-09
108.5,300.0,5.0,619.9243905509768,2.5051586124721183e-08,-5.887122739309478e-10
109.0,300.0,5.0,622.1133337262593,2.4788078932568212e-08,1.6979834068809226e-09
109.5,300.0,5.0,624.3046131497027,2.4527979085378376e-08,-5.764075085063919e-10
110.0,300.0,5.0,626.4982043070834,2.4271236817802385e-08,1.6625797220194635e-09
110.5,300.0,5.0,628.6940830006275,2.401780311781075e-08,-5.644183732685526e-10
111.0,300.0,5.0,630.8922253443927,2.3767629716620773e-08,1.628082635588523e-09
111.5,300.0,5.0,633.0926077597179,2.352066907866712e-08,-5.527357233486773e-10
112.0,300.0,5.0,635.2952069707436,2.327687439162102e-08,1.5944658958260401e-09
112.5,300.0,5.0,637.5,2.3036199556463128e-08,-5.413506895768835e-10
113.0,300.0,5.0,639.7069641640616,2.2798599177614556e-08,1.5617040436665973e-09
113.5,300.0,5.0,641.9160770692692,2.2564028553130155e-08,-5.302546709985586e-10
114.0,300.0,5.0,644.1273166075166,2.2332443664958206e-08,1.5297723910496373e-09
114.5,300.0,5.0,646.340660952102,2.210380116926988e-08,-5.194393274778422e-10
115.0,300.0,5.0,648.5560885536423,2.1878058386862163e-08,1.4986469995000583e-09
115.5,300.0,5.0,650.7735781360518,2.16551732936369e-08,-5.088965724004672e-10
116.0,300.0,5.0,652.9931086925803,2.143510451115935e-08,1.4683046590144156e-09
116.5,300.0,5.0,655.2146594819136,2.1217811297298414e-08,-4.986185654865128e-10
117.0,300.0,5.0,657.4382100243338,2.1003253536951143e-08,1.4387228672811534e-09
117.5,300.0,5.0,659.6637400979381,2.0791391732853792e-08,-4.885977057220641e-10
118.0,300.0,5.0,661.8912297349165,2.0582186996481182e-08,1.409879809258961e-09
118.5,300.0,5.0,664.1206592178864,2.0375601039036346e-08,-4.788266244173541e-10
119.0,300.0,5.0,666.3520090762839,2.0171596162532074e-08,1.3817543371334472e-09
119.5,300.0,5.0,668.585260082811,1.9970135250965648e-08,-4.692981783976927e-10
120.0,300.0,5.0,670.820393249937,1.9771181761588248e-08,1.3543259506687951e-09
120.5,300.0,5.0,673.0573898264546,1.9574699716270027e-08,-4.6000544333234564e-10
121.0,300.0,5.0,675.2962312940892,1.938065369296188e-08,1.327574777967889e-09
121.5,300.0,5.0,677.53689936416,1.918900881725479e-08,-4.5094170720548757e-10
122.0,300.0,5.0,679.7793759742935,1.8999730754037363e-08,1.3014815566515595e-09
122.5,300.0,5.0,682.023643285187,1.8812785699252362e-08,-4.421004639324305e-10
123.0,300.0,5.0,684.2696836774226,1.8628140371752442e-08,1.2760276154650424e-09
123.5,300.0,5.0,686.517479748331,1.8445762005255663e-08,-4.3347540712350807e-10
124.0,300.0,5.0,688.7670143089026,1.8265618340401005e-08,1.2511948563174689e-09
124.5,300.0,5.0,691.0182703807476,1.8087677616904e-08,-4.25060423997244e-10
125.0,300.0,5.0,693.2712311931024,1.7911908565812585e-08,1.2269657367581621e-09
125.5,300.0,5.0,695.5258801798823,1.7738280401863257e-08,-4.1684958944378654e-10
126.0,300.0,5.0,697.7822009767805,1.7566762815937284e-08,1.203323252891704e-09
126.5,300.0,5.0,700.0401774184107,1.7397325967616992e-08,-4.0883716023899933e-10
127.0,300.0,5.0,702.2997935354957,1.7229940477841686e-08,1.1802509227321555e-09
127.5,300.0,5.0,704.5610335520976,1.7064577421663124e-08,-4.0101756940908343e-10
