"distance_m","frequency_hz","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","30","0.639","-0.012737622659797","-0.00709767259031822","-0.016370155999971","0.0219227278112491","-0.00709767259031822"
"3","30","0.64","-0.011797712391332","-0.00423257384558962","-0.014575910651483","0.0192238880132759","-0.00423257384558962"
"3","30","0.641","-0.0104398622797416","-0.00121753406226276","-0.0122653064014538","0.0161527352090686","-0.00121753406226276"
"3","30","0.642","-0.00871217484217514","0.00184063747221239","-0.00952019755737495","0.0130354937887366","0.00184063747221239"
"3","30","0.643","-0.00667585426743396","0.0048336035065984","-0.00643783096860166","0.0104583182510049","0.0048336035065984"
"3","30","0.644","-0.00440303822707118","0.00765533672700557","-0.00312740100823276","0.00936864787998704","0.00765533672700557"
"3","30","0.645","-0.0019742423624122","0.0102058758273469","0.000293818691995493","0.0103992241889736","0.0102058758273469"
"3","30","0.646","0.00052449202217939","0.0123948666884406","0.00370462971857891","0.0129472813152925","0.0123948666884406"
"3","30","0.647","0.00300464601540346","0.0141447632177267","0.00698420239046561","0.0160586832335164","0.0141447632177267"
"3","30","0.648","0.00537835892558776","0.0153935744582576","0.0100163562107475","0.0191367779700489","0.0153935744582576"
"3","30","0.649","0.00756154078949212","0.0160970606492518","0.0126936756186834","0.0218499808093554","0.0160970606492518"
"3","30","0.65","0.00947685130117818","0.0162303004416753","0.0149213152394888","0.0239974792736214","0.0162303004416753"
"3","30","0.651","0.0110564396309057","0.015788573749456","0.0166203598290238","0.0254511351259644","0.015788573749456"
"3","30","0.652","0.0122443480746021","0.0147875289608851","0.0177306198856579","0.0261336938466554","0.0147875289608851"
"3","30","0.653","0.0129984943834262","0.0132626285866615","0.0182127638933728","0.0260108235528873","0.0132626285866615"
"3","30","0.654","0.013292162548414","0.0112678929827698","0.0180497116603259","0.0250886246834201","0.0112678929827698"
"3","30","0.655","0.0131149492284147","0.00887398665243843","0.0172472393931613","0.023414029961896","0.00887398665243843"
"3","30","0.656","0.0124731322936375","0.00616571492088399","0.0158337750720101","0.021078508076503","0.00616571492088399"
"3","30","0.657","0.0113894484289702","0.00323901966438557","0.0138593913751212","0.018228919693477","0.00323901966438557"
"3","30","0.658","0.00990228767558109","0.000197580521486703","0.0113940318292711","0.0150969632906383","0.000197580521486703"
"3","30","0.659","0.00806433344457212","-0.00285085800988792","0.00852503302545879","0.0120763013121961","-0.00285085800988792"
"3","30","0.66","0.00594069618087524","-0.00579830347498803","0.00535403067662728","0.0098781495629389","-0.00579830347498803"
"3","30","0.661","0.00360660679328044","-0.00854034114878548","0.0019933591218635","0.00948253763966648","-0.00854034114878548"
"3","30","0.662","0.00114475156198665","-0.0109798329796629","-0.00143792817356652","0.011132601934512","-0.0109798329796629"
"3","30","0.663","-0.00135765706409797","-0.0130303587533211","-0.00481827614657947","0.0139588418920999","-0.0130303587533211"
"3","30","0.664","-0.00381197001183719","-0.0146192775719538","-0.00802793428498406","0.0171085394169403","-0.0146192775719538"
"3","30","0.665","-0.00613124202147736","-0.0156903011942669","-0.0109531988490754","0.0200935374018646","-0.0156903011942669"
"3","30","0.666","-0.00823331172582123","-0.0162054880744892","-0.0134904408833019","0.022636193605216","-0.0162054880744892"
"3","30","0.667","-0.0100437122576212","-0.0161465874605463","-0.0155497773236777","0.0245638762688408","-0.0161465874605463"
"3","30","0.668","-0.0114983092754762","-0.0155156859360514","-0.0170582551501353","0.0257668720458616","-0.0155156859360514"
"3","30","0.669","-0.0125455729548501","-0.0143351335020412","-0.0179624357836322","0.0261827529600674","-0.0143351335020412"
"3","30","0.67","-0.0131484034577958","-0.012646751817046","-0.018230288174454","0.02579077842824","-0.012646751817046"
"3","30","0.671","-0.0132854452132094","-0.0105103526439872","-0.0178523235181202","0.0246104860214053","-0.0105103526439872"
"3","30","0.672","-0.0129518434485844","-0.00800161898865646","-0.0168419314010128","0.0227030132024955","-0.00800161898865646"
