"distance_m","time_s","Ex_V_per_m","Ey_V_per_m","Ez_V_per_m","E_norm_instant_V_per_m","E_sensor_V_per_m"
"3","0.07969","-0.020689830848637","0.00314172408735258","-0.0207143997565433","0.029445303327698","0.00314172408735258"
"3","0.0797","-0.0219427106977683","-0.0025451436713694","-0.0179807679955482","0.0284827724560584","-0.0025451436713694"
"3","0.07971","-0.0227256202213416","-0.0141118054154332","-0.0134476064010206","0.0299405241177317","-0.0141118054154332"
"3","0.07972","-0.0212669446295466","-0.0307481925474024","-0.00827296388130024","0.0382906804613032","-0.0307481925474024"
"3","0.07973","-0.0163707226245176","-0.0490357136324204","-0.00420705554883186","0.0518671484379139","-0.0490357136324204"
"3","0.07974","-0.00822685866391125","-0.0640377311367191","-0.0028339962913947","0.0646261846900646","-0.0640377311367191"
"3","0.07975","0.00139886766155659","-0.071238796110113","-0.00483522207741678","0.0714164005988172","-0.071238796110113"
"3","0.07976","0.00975033306152112","-0.0684325242509029","-0.009645865060117","0.0697934243530076","-0.0684325242509029"
"3","0.07977","0.0141986302721661","-0.0566520768218957","-0.0156835740186773","0.0604734107177607","-0.0566520768218957"
"3","0.07978","0.0133641491291357","-0.0396947277358608","-0.0210419027635159","0.0468725246160174","-0.0396947277358608"
"3","0.07979","0.00769918660350741","-0.0224794394943493","-0.0243076867949677","0.0339921507359859","-0.0224794394943493"
"3","0.0798","-0.000749735270772187","-0.00903881541460106","-0.0251053516836947","0.0266934630619083","-0.00903881541460106"
"3","0.07981","-0.00927355704416514","-0.00109597121666028","-0.0241189333538515","0.025863544986847","-0.00109597121666028"
"3","0.07982","-0.0156607609001674","0.00215664937609718","-0.0226147490953107","0.0275923439589225","0.00215664937609718"
"3","0.07983","-0.0190238243314931","0.00309143383026261","-0.0217393857724215","0.0290527752389434","0.00309143383026261"
"3","0.07984","-0.0199223427071819","0.00410076862046314","-0.0219672289208572","0.0299378554456114","0.00410076862046314"
"3","0.07985","-0.0197873319839671","0.00632677111051361","-0.0229706609535383","0.0309712415697364","0.00632677111051361"
"3","0.07986","-0.0200064551511326","0.00930099255355195","-0.0239440082067314","0.0325589041461707","0.00930099255355195"
"3","0.07987","-0.0211795872169212","0.0115829982890261","-0.0241636271823627","0.0341558434627367","0.0115829982890261"
"3","0.07988","-0.0229256282225286","0.0119210213529408","-0.0234465463900622","0.0348917714814856","0.0119210213529408"
"3","0.07989","-0.0242933883899282","0.0101851856098934","-0.0222417220010737","0.0344760920486201","0.0101851856098934"
"3","0.0799","-0.0244866975716331","0.00748880523933597","-0.0213081084647737","0.0333124008174717","0.00748880523933597"
"3","0.07991","-0.0234459818804668","0.00541554309768925","-0.0211776995177687","0.0320552200155763","0.00541554309768925"
"3","0.07992","-0.0219255895464633","0.00482136996864133","-0.0217321213192705","0.031245194548442","0.00482136996864133"
"3","0.07993","-0.021010492072101","0.00496434754959843","-0.0221639872222348","0.0309407151386714","0.00496434754959843"
"3","0.07994","-0.0213546742898137","0.00356429017882114","-0.0213790027926782","0.0304267651733176","0.00356429017882114"
"3","0.07995","-0.0226040307508058","-0.00211707962252874","-0.0186399673015506","0.0293746934165172","-0.00211707962252874"
"3","0.07996","-0.0233834064365108","-0.0136782448606502","-0.0141013902822753","0.0305405842598993","-0.0136782448606502"
"3","0.07997","-0.0219211865929927","-0.0303091369998428","-0.00892132069963732","0.0384548068561762","-0.0303091369998428"
"3","0.07998","-0.0170214099583665","-0.0485911646669387","-0.00484997372268056","0.0517141366143825","-0.0485911646669387"
"3","0.07999","-0.00887398102639056","-0.0635876903898949","-0.0034714642958984","0.0642976902597252","-0.0635876903898949"
"3","0.08","0.000755320575996822","-0.0707832652802309","-0.00546722844456815","0.0709981108183109","-0.0707832652802309"
"3","0.08001","0.00911037152211171","-0.067971505097956","-0.0102723983788946","0.0693444052754588","-0.067971505097956"
"3","0.08002","0.0135622645116844","-0.0561855711675616","-0.0163046229351733","0.0600549261523833","-0.0561855711675616"
"3","0.08003","0.012731389343797","-0.0392227374635002","-0.0216574559810675","0.0465785015680613","-0.0392227374635002"
