"distance_m","frequency_hz","quantity","real","imag","amplitude"
"3","4000","E_sensor","-0.0342621164688381","0.00278098973640295","0.0343747949643079"
"3","4000","V_MEMS","-0.0342621164688381","0.00278098973640295","0.0343747949643079"
"3","8000","V","8.9409145784247","0.106470741761711","8.94154849662734"
"3","8000","Ex","0.00282956068669904","-0.00770193762224919","0.00820525787630896"
"3","8000","Ey","-0.0158198212232996","0.0019826940037751","0.0159435823781786"
"3","8000","Ez","0.00410360032375934","0.00279646933895572","0.00496586109158091"
"3","8000","normE","0.0186060165604402","0","0.0186060165604402"
"3","8000","E_sensor","-0.0158198212232996","0.0019826940037751","0.0159435823781786"
"3","8000","V_MEMS","-0.0158198212232996","0.0019826940037751","0.0159435823781786"
"3","12000","V","4.48895296070437","0.0699432305204708","4.48949782703057"
"3","12000","Ex","-0.000315835879757032","-0.00439325433126075","0.00440459259433642"
"3","12000","Ey","-0.00726980289015344","0.000826963346461762","0.00731668657508811"
"3","12000","Ez","0.00251601290453252","0.00186776346659001","0.00313350623150848"
"3","12000","normE","0.00909687856701739","0","0.00909687856701739"
"3","12000","E_sensor","-0.00726980289015344","0.000826963346461762","0.00731668657508811"
"3","12000","V_MEMS","-0.00726980289015344","0.000826963346461762","0.00731668657508811"
"4","30","V","2.23569985474781","3.84184740922063","4.44501353836573"
"4","30","Ex","-0.00270812438872459","0.00639750100693881","0.00694708261348518"
"4","30","Ey","-0.00518835090683334","0.000594293178586724","0.00522227627711835"
"4","30","Ez","-0.00984553935591448","0.0100772288554287","0.0140884770863833"
"4","30","normE","0.0165535287164606","0","0.0165535287164606"
"4","30","E_sensor","-0.00518835090683334","0.000594293178586724","0.00522227627711835"
"4","30","V_MEMS","-0.00518835090683334","0.000594293178586724","0.00522227627711835"
"4","50","V","3.72636261440284","6.40393029276736","7.40919034231424"
"4","50","Ex","-0.00452657237924736","0.0106189446440688","0.0115434762033957"
"4","50","Ey","-0.00864494972861873","0.000998267520520457","0.00870239586854512"
"4","50","Ez","-0.0163974995886775","0.0168353900021758","0.0235012414413801"
"4","50","normE","0.0275915183706384","0","0.0275915183706384"
"4","50","E_sensor","-0.00864494972861873","0.000998267520520457","0.00870239586854512"
"4","50","V_MEMS","-0.00864494972861873","0.000998267520520457","0.00870239586854512"
"4","4000","V","17.8080639175198","0.117959653958062","17.8084545924241"
"4","4000","Ex","0.0153142533102244","-0.00622390534442496","0.0165306791205347"
"4","4000","Ey","-0.00794676474495759","0.000363090502370905","0.00795505528733854"
"4","4000","Ez","0.0157919911225051","0.00177772377944874","0.0158917363887429"
"4","4000","normE","0.024271249293351","0","0.024271249293351"
"4","4000","E_sensor","-0.00794676474495759","0.000363090502370905","0.00795505528733854"
"4","4000","V_MEMS","-0.00794676474495759","0.000363090502370905","0.00795505528733854"
"4","8000","V","8.93252397456667","0.107254632789113","8.93316786545865"
"4","8000","Ex","0.00528614777235781","-0.00493878415826739","0.00723428968407793"
"4","8000","Ey","-0.00360514387983102","8.29776395311621E-05","0.003606098679036"
"4","8000","Ez","0.0084789386304891","0.00147543594161902","0.00860635297425231"
"4","8000","normE","0.0118071252400202","0","0.0118071252400202"
"4","8000","E_sensor","-0.00360514387983102","8.29776395311621E-05","0.003606098679036"
"4","8000","V_MEMS","-0.00360514387983102","8.29776395311621E-05","0.003606098679036"
"4","12000","V","4.48510286353518","0.0701170952453691","4.48565091191202"
"4","12000","Ex","0.00139981079070495","-0.00258661739906212","0.00294109840347189"
"4","12000","Ey","-0.00166322339548675","-0.000154086530816916","0.00167034568945283"
"4","12000","Ez","0.00456278405528288","0.00084876654870425","0.00464105623639091"
"4","12000","normE","0.0057427795996818","0","0.0057427795996818"
"4","12000","E_sensor","-0.00166322339548675","-0.000154086530816916","0.00167034568945283"
"4","12000","V_MEMS","-0.00166322339548675","-0.000154086530816916","0.00167034568945283"
