"case_id","case_name","frequency_hz","distance_m","quantity","real","imag","amplitude"
"4","combined_50hz","50","2","V","3.78943137969833","6.40888422177902","7.44537353996496"
"4","combined_50hz","50","2","Ex","-0.0804413216301683","0.0192398750531808","0.0827102110846671"
"4","combined_50hz","50","2","Ey","-0.0698489550205772","-0.0117118642751164","0.0708240374609169"
"4","combined_50hz","50","2","Ez","-0.0335803370194503","0.0106064215056687","0.0352155535452132"
"4","combined_50hz","50","2","normE","0.114442817648952","0","0.114442817648952"
"4","combined_50hz","50","2","E_sensor","-0.0698489550205772","-0.0117118642751164","0.0708240374609169"
"4","combined_50hz","50","3","V","3.74326428696198","6.40331923012751","7.41717767651319"
"4","combined_50hz","50","3","Ex","-0.0158102163694682","0.015486213407371","0.0221311036179409"
"4","combined_50hz","50","3","Ey","-0.0270459507357366","-0.00134807506331924","0.0270795265389968"
"4","combined_50hz","50","3","Ez","-0.0248530372412574","0.0175175740594256","0.0304062306286522"
"4","combined_50hz","50","3","normE","0.0463424790658318","0","0.0463424790658318"
"4","combined_50hz","50","3","E_sensor","-0.0270459507357366","-0.00134807506331924","0.0270795265389968"
"4","combined_50hz","50","4","V","3.72636262501594","6.40393027821889","7.4091903350774"
"4","combined_50hz","50","4","Ex","-0.00452657233608855","0.0106189445880043","0.0115434761348975"
"4","combined_50hz","50","4","Ey","-0.00864494970234109","0.000998267483709014","0.00870239583821823"
"4","combined_50hz","50","4","Ez","-0.0163974994710792","0.0168353898402218","0.0235012412433106"
"4","combined_50hz","50","4","normE","0.0275915181637088","0","0.0275915181637088"
"4","combined_50hz","50","4","E_sensor","-0.00864494970234109","0.000998267483709014","0.00870239583821823"
